member	value
#campaign_group_member_criteria_values_tables;0;db/campaign_group_member_criteria_values_tables/derpy_iron_court	
derpy_ic_event_plot_ok	2600
derpy_ic_event_plot_fail	2601
derpy_ic_event_office_lost	2602
derpy_ic_event_party_joined	2603
derpy_ic_event_secede_warn	2604
derpy_ic_event_snub	2605
derpy_ic_event_secede_done	2606
derpy_ic_event_loyalty_warn	2607
derpy_ic_event_splinter	2608
derpy_ic_event_secede_soon	2609
derpy_ic_event_splinter_warn	2610
derpy_ic_event_dissolved	2611
derpy_ic_event_party_plot_warn	2612
derpy_ic_event_party_plot_ok	2613
derpy_ic_event_party_plot_fail	2614
derpy_ic_event_party_plot_dropped	2615
derpy_ic_event_party_feud	2616
derpy_ic_event_party_feud_end	2617
derpy_ic_event_party_feud_murder	2618
derpy_ic_event_party_demand	2619
derpy_ic_event_party_demand_refused	2620
derpy_ic_event_party_offer	2621
derpy_ic_event_term_soon	2622
