key	level	trait	threshold_points
#character_trait_levels_tables;0;db/character_trait_levels_tables/derpy_iron_court			
derpy_ic_standing_0	1	derpy_ic_standing_0	1
derpy_ic_standing_1	1	derpy_ic_standing_1	1
derpy_ic_standing_2	1	derpy_ic_standing_2	1
derpy_ic_standing_3	1	derpy_ic_standing_3	1
derpy_ic_standing_4	1	derpy_ic_standing_4	1
derpy_ic_ambition_cautious	1	derpy_ic_ambition_cautious	1
derpy_ic_ambition_steady	1	derpy_ic_ambition_steady	1
derpy_ic_ambition_ambitious	1	derpy_ic_ambition_ambitious	1
derpy_ic_house_khorakk	1	derpy_ic_house_khorakk	1
derpy_ic_house_uzkulak	1	derpy_ic_house_uzkulak	1
derpy_ic_house_artificers	1	derpy_ic_house_artificers	1
derpy_ic_house_fists	1	derpy_ic_house_fists	1
derpy_ic_house_horns	1	derpy_ic_house_horns	1
derpy_ic_house_baal	1	derpy_ic_house_baal	1
derpy_ic_house_azeros	1	derpy_ic_house_azeros	1
derpy_ic_house_bzaark	1	derpy_ic_house_bzaark	1
derpy_ic_house_blackdwarf	1	derpy_ic_house_blackdwarf	1
derpy_ic_house_kraken	1	derpy_ic_house_kraken	1
derpy_ic_house_conclave	1	derpy_ic_house_conclave	1
derpy_ic_house_astragoth	1	derpy_ic_house_astragoth	1
derpy_ic_house_azgorh	1	derpy_ic_house_azgorh	1
derpy_ic_house_zhatan	1	derpy_ic_house_zhatan	1
derpy_ic_house_skullstack	1	derpy_ic_house_skullstack	1
derpy_ic_house_zharrduk	1	derpy_ic_house_zharrduk	1
derpy_ic_house_zharr	1	derpy_ic_house_zharr	1
derpy_ic_house_plain	1	derpy_ic_house_plain	1
derpy_ic_house_gorgoth	1	derpy_ic_house_gorgoth	1
derpy_ic_house_stump	1	derpy_ic_house_stump	1
derpy_ic_house_zornuzkul	1	derpy_ic_house_zornuzkul	1
derpy_ic_house_gash	1	derpy_ic_house_gash	1
derpy_ic_house_mines	1	derpy_ic_house_mines	1
derpy_ic_house_wastes	1	derpy_ic_house_wastes	1
derpy_ic_bg_household	1	derpy_ic_bg_household	1
derpy_ic_bg_blood	1	derpy_ic_bg_blood	1
derpy_ic_bg_sworn	1	derpy_ic_bg_sworn	1
derpy_ic_bg_acolyte	1	derpy_ic_bg_acolyte	1
derpy_ic_bg_ashpriest	1	derpy_ic_bg_ashpriest	1
derpy_ic_bg_taurukh	1	derpy_ic_bg_taurukh	1
derpy_ic_bg_daemonsmith	1	derpy_ic_bg_daemonsmith	1
derpy_ic_bg_gunnery	1	derpy_ic_bg_gunnery	1
derpy_ic_bg_furnace	1	derpy_ic_bg_furnace	1
derpy_ic_bg_overseer	1	derpy_ic_bg_overseer	1
derpy_ic_bg_driver	1	derpy_ic_bg_driver	1
derpy_ic_bg_wrangler	1	derpy_ic_bg_wrangler	1
derpy_ic_bg_immortal	1	derpy_ic_bg_immortal	1
derpy_ic_bg_infernal	1	derpy_ic_bg_infernal	1
derpy_ic_bg_siege	1	derpy_ic_bg_siege	1
derpy_ic_bg_broker	1	derpy_ic_bg_broker	1
derpy_ic_bg_tribute	1	derpy_ic_bg_tribute	1
derpy_ic_bg_harbour	1	derpy_ic_bg_harbour	1
derpy_ic_bg_apprentice	1	derpy_ic_bg_apprentice	1
derpy_ic_bg_clerk	1	derpy_ic_bg_clerk	1
derpy_ic_bg_omens	1	derpy_ic_bg_omens	1
derpy_ic_bg_caravan	1	derpy_ic_bg_caravan	1
derpy_ic_bg_roadwarden	1	derpy_ic_bg_roadwarden	1
derpy_ic_bg_pathfinder	1	derpy_ic_bg_pathfinder	1
derpy_ic_bg_ashfarmer	1	derpy_ic_bg_ashfarmer	1
derpy_ic_bg_kiln	1	derpy_ic_bg_kiln	1
derpy_ic_bg_elder	1	derpy_ic_bg_elder	1
derpy_ic_title_priest	1	derpy_ic_title_priest	1
derpy_ic_title_forge	1	derpy_ic_title_forge	1
derpy_ic_title_ledger	1	derpy_ic_title_ledger	1
derpy_ic_title_warden	1	derpy_ic_title_warden	1
derpy_ic_title_hand	1	derpy_ic_title_hand	1
derpy_ic_title_chains	1	derpy_ic_title_chains	1
derpy_ic_title_pits	1	derpy_ic_title_pits	1
derpy_ic_title_quarry	1	derpy_ic_title_quarry	1
derpy_ic_title_roads	1	derpy_ic_title_roads	1
derpy_ic_title_kilns	1	derpy_ic_title_kilns	1
derpy_ic_title_fields	1	derpy_ic_title_fields	1
derpy_ic_title_scribes	1	derpy_ic_title_scribes	1
derpy_ic_title_muster	1	derpy_ic_title_muster	1
derpy_ic_title_banners	1	derpy_ic_title_banners	1
