key	no_going_back_level	hidden	precedence	icon	ui_priority	pre_battle_speech_parameter	remove_on_skill_reset
#character_traits_tables;3;db/character_traits_tables/derpy_iron_court							
derpy_ic_standing_0	1	false	1	chaos_dwarfs	1		false
derpy_ic_standing_1	1	false	1	chaos_dwarfs	1		false
derpy_ic_standing_2	1	false	1	chaos_dwarfs	1		false
derpy_ic_standing_3	1	false	1	chaos_dwarfs	1		false
derpy_ic_standing_4	1	false	1	chaos_dwarfs	1		false
derpy_ic_ambition_cautious	1	false	1	chaos_dwarfs	1		false
derpy_ic_ambition_steady	1	false	1	chaos_dwarfs	1		false
derpy_ic_ambition_ambitious	1	false	1	chaos_dwarfs	1		false
derpy_ic_house_khorakk	1	false	1	chaos_dwarfs	1		false
derpy_ic_house_uzkulak	1	false	1	chaos_dwarfs	1		false
derpy_ic_house_artificers	1	false	1	chaos_dwarfs	1		false
derpy_ic_house_fists	1	false	1	chaos_dwarfs	1		false
derpy_ic_house_horns	1	false	1	chaos_dwarfs	1		false
derpy_ic_house_baal	1	false	1	chaos_dwarfs	1		false
derpy_ic_house_azeros	1	false	1	chaos_dwarfs	1		false
derpy_ic_house_bzaark	1	false	1	chaos_dwarfs	1		false
derpy_ic_house_blackdwarf	1	false	1	chaos_dwarfs	1		false
derpy_ic_house_kraken	1	false	1	chaos_dwarfs	1		false
derpy_ic_house_conclave	1	false	1	chaos_dwarfs	1		false
derpy_ic_house_astragoth	1	false	1	chaos_dwarfs	1		false
derpy_ic_house_azgorh	1	false	1	chaos_dwarfs	1		false
derpy_ic_house_zhatan	1	false	1	chaos_dwarfs	1		false
derpy_ic_house_skullstack	1	false	1	chaos_dwarfs	1		false
derpy_ic_house_zharrduk	1	false	1	chaos_dwarfs	1		false
derpy_ic_house_zharr	1	false	1	chaos_dwarfs	1		false
derpy_ic_house_plain	1	false	1	chaos_dwarfs	1		false
derpy_ic_house_gorgoth	1	false	1	chaos_dwarfs	1		false
derpy_ic_house_stump	1	false	1	chaos_dwarfs	1		false
derpy_ic_house_zornuzkul	1	false	1	chaos_dwarfs	1		false
derpy_ic_house_gash	1	false	1	chaos_dwarfs	1		false
derpy_ic_house_mines	1	false	1	chaos_dwarfs	1		false
derpy_ic_house_wastes	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_household	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_blood	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_sworn	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_acolyte	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_ashpriest	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_taurukh	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_daemonsmith	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_gunnery	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_furnace	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_overseer	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_driver	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_wrangler	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_immortal	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_infernal	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_siege	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_broker	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_tribute	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_harbour	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_apprentice	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_clerk	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_omens	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_caravan	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_roadwarden	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_pathfinder	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_ashfarmer	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_kiln	1	false	1	chaos_dwarfs	1		false
derpy_ic_bg_elder	1	false	1	chaos_dwarfs	1		false
derpy_ic_title_priest	1	false	1	chaos_dwarfs	1		false
derpy_ic_title_forge	1	false	1	chaos_dwarfs	1		false
derpy_ic_title_ledger	1	false	1	chaos_dwarfs	1		false
derpy_ic_title_warden	1	false	1	chaos_dwarfs	1		false
derpy_ic_title_hand	1	false	1	chaos_dwarfs	1		false
derpy_ic_title_chains	1	false	1	chaos_dwarfs	1		false
derpy_ic_title_pits	1	false	1	chaos_dwarfs	1		false
derpy_ic_title_quarry	1	false	1	chaos_dwarfs	1		false
derpy_ic_title_roads	1	false	1	chaos_dwarfs	1		false
derpy_ic_title_kilns	1	false	1	chaos_dwarfs	1		false
derpy_ic_title_fields	1	false	1	chaos_dwarfs	1		false
derpy_ic_title_scribes	1	false	1	chaos_dwarfs	1		false
derpy_ic_title_muster	1	false	1	chaos_dwarfs	1		false
derpy_ic_title_banners	1	false	1	chaos_dwarfs	1		false
