effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/derpy_iron_court				
derpy_ic_office_priest	wh_main_effect_public_order_faction	faction_to_province_own	6.0	start_turn_completed
derpy_ic_office_priest	wh_main_effect_economy_gdp_mod_all	faction_to_region_own	12.0	start_turn_completed
derpy_ic_vacant_priest	wh_main_effect_public_order_faction	faction_to_province_own	-6.0	start_turn_completed
derpy_ic_office_forge	wh3_dlc23_pooled_resource_chd_armaments_modifier	faction_to_region_own	15.0	start_turn_completed
derpy_ic_office_forge	wh3_dlc23_pooled_resource_chd_raw_material_efficiency	faction_to_region_own	12.0	start_turn_completed
derpy_ic_vacant_forge	wh3_dlc23_pooled_resource_chd_armaments_modifier	faction_to_region_own	-6.0	start_turn_completed
derpy_ic_office_ledger	wh_main_effect_economy_gdp_mod_all	faction_to_region_own	12.0	start_turn_completed
derpy_ic_vacant_ledger	wh_main_effect_economy_gdp_mod_all	faction_to_region_own	-6.0	start_turn_completed
derpy_ic_office_warden	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own	-10.0	start_turn_completed
derpy_ic_office_warden	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	10.0	start_turn_completed
derpy_ic_vacant_warden	wh_main_effect_public_order_faction	faction_to_province_own	-4.0	start_turn_completed
derpy_ic_office_hand	wh_main_effect_technology_research_rate_mod	faction_to_faction_own	10.0	start_turn_completed
derpy_ic_vacant_hand	wh_main_effect_technology_research_rate_mod	faction_to_faction_own	-4.0	start_turn_completed
derpy_ic_office_chains	wh3_dlc23_pooled_resource_chd_workload_modifier	faction_to_province_own	-15.0	start_turn_completed
derpy_ic_vacant_chains	wh3_dlc23_pooled_resource_chd_workload_modifier	faction_to_province_own	6.0	start_turn_completed
derpy_ic_office_pits	wh3_dlc23_effect_force_chd_campaign_post_battle_labour	faction_to_force_own	24.0	start_turn_completed
derpy_ic_vacant_pits	wh3_dlc23_effect_force_chd_campaign_post_battle_labour	faction_to_force_own	-10.0	start_turn_completed
derpy_ic_office_quarry	wh3_dlc23_pooled_resource_chd_raw_material_efficiency	faction_to_region_own	9.0	start_turn_completed
derpy_ic_vacant_quarry	wh3_dlc23_pooled_resource_chd_raw_material_efficiency	faction_to_region_own	-4.0	start_turn_completed
derpy_ic_office_roads	wh_main_effect_force_all_campaign_movement_range	faction_to_force_own	6.0	start_turn_completed
derpy_ic_vacant_roads	wh_main_effect_force_all_campaign_movement_range	faction_to_force_own	-3.0	start_turn_completed
derpy_ic_office_kilns	wh_main_effect_building_construction_cost_mod_all	faction_to_region_own	-8.0	start_turn_completed
derpy_ic_vacant_kilns	wh_main_effect_building_construction_cost_mod_all	faction_to_region_own	4.0	start_turn_completed
derpy_ic_office_fields	wh_main_effect_province_growth_events	faction_to_province_own	10.0	start_turn_completed
derpy_ic_vacant_fields	wh_main_effect_province_growth_events	faction_to_province_own	-5.0	start_turn_completed
derpy_ic_office_scribes	wh_main_effect_agent_action_success_chance	faction_to_character_own	8.0	start_turn_completed
derpy_ic_vacant_scribes	wh_main_effect_agent_action_success_chance	faction_to_character_own	-4.0	start_turn_completed
