event	flavour_text	group	image	secondary_detail	target	layout	layout_data	sound_event	context_located	override_icon	instant_open	ignore_instant_open_filters
#event_feed_message_events_tables;1;db/event_feed_message_events_tables/derpy_iron_court												
scripted_persistent_event	wh_event_feed_string_all_null	derpy_ic_event_plot_ok_group	chd/diplomacy	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_ic_event_plot_fail_group	chd/army_morale_down	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_ic_event_office_lost_group	chd/civilisation_down	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_ic_event_party_joined_group	chd/faction	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_ic_event_secede_warn_group	chd/settlement_lost	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		true	false
scripted_transient_event	wh_event_feed_string_all_null	derpy_ic_event_snub_group	chd/army_morale_down	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_ic_event_secede_done_group	chd/settlement_lost	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_ic_event_loyalty_warn_group	chd/army_morale_down	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_ic_event_splinter_group	chd/faction	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_ic_event_secede_soon_group	chd/settlement_lost	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_ic_event_splinter_warn_group	chd/faction	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_ic_event_dissolved_group	chd/faction	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_ic_event_party_plot_warn_group	chd/army_morale_down	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_ic_event_party_plot_ok_group	chd/army_morale_down	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_ic_event_party_plot_fail_group	chd/diplomacy	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_ic_event_party_plot_dropped_group	chd/diplomacy	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_ic_event_party_feud_group	chd/faction	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_ic_event_party_feud_end_group	chd/faction	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_ic_event_party_feud_murder_group	chd/army_morale_down	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_ic_event_party_demand_group	chd/diplomacy	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_ic_event_party_demand_refused_group	chd/army_morale_down	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		true	false
scripted_persistent_event	wh_event_feed_string_all_null	derpy_ic_event_party_offer_group	chd/diplomacy	wh_event_feed_string_scripted_event_secondary_detail	event_feed_target_faction	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		true	false
