key	text	tooltip
#Loc;1;text/db/derpy_iron_court.loc		
effect_bundles_localised_title_derpy_ic_office_priest	High Priest of Hashut	false
effect_bundles_localised_description_derpy_ic_office_priest	The Father of Darkness is served loudly, and the people are quiet.	false
derpy_ic_effects_derpy_ic_office_priest	Control +6, Building income +12%	false
effect_bundles_localised_title_derpy_ic_vacant_priest	High Priest of Hashut (Vacant)	false
effect_bundles_localised_description_derpy_ic_vacant_priest	The temples stand unattended and the sermons go unsaid.	false
derpy_ic_effects_derpy_ic_vacant_priest	Control -6	false
effect_bundles_localised_title_derpy_ic_office_forge	Grand Overseer of the Forge	false
effect_bundles_localised_description_derpy_ic_office_forge	The forges of Zharr Naggrund answer to one voice, and it is his.	false
derpy_ic_effects_derpy_ic_office_forge	Armaments +15%, Raw Materials +12%	false
effect_bundles_localised_title_derpy_ic_vacant_forge	Grand Overseer of the Forge (Vacant)	false
effect_bundles_localised_description_derpy_ic_vacant_forge	No hand guides the forges. Output slips and no one is blamed.	false
derpy_ic_effects_derpy_ic_vacant_forge	Armaments -6%	false
effect_bundles_localised_title_derpy_ic_office_ledger	Keeper of the Black Ledger	false
effect_bundles_localised_description_derpy_ic_office_ledger	Every debt in the Dark Lands is written down, and he holds the book.	false
derpy_ic_effects_derpy_ic_office_ledger	Building income +12%	false
effect_bundles_localised_title_derpy_ic_vacant_ledger	Keeper of the Black Ledger (Vacant)	false
effect_bundles_localised_description_derpy_ic_vacant_ledger	The books go unbalanced and the tribute arrives light.	false
derpy_ic_effects_derpy_ic_vacant_ledger	Building income -6%	false
effect_bundles_localised_title_derpy_ic_office_warden	Warden of the Marches	false
effect_bundles_localised_description_derpy_ic_office_warden	The outer holds are watched, and the watchers are paid on time.	false
derpy_ic_effects_derpy_ic_office_warden	Upkeep -10%, Replenishment +10%	false
effect_bundles_localised_title_derpy_ic_vacant_warden	Warden of the Marches (Vacant)	false
effect_bundles_localised_description_derpy_ic_vacant_warden	The marches keep themselves, badly and at their own expense.	false
derpy_ic_effects_derpy_ic_vacant_warden	Control -4	false
effect_bundles_localised_title_derpy_ic_office_hand	Hand of the Tower	false
effect_bundles_localised_description_derpy_ic_office_hand	He carries the Sorcerer-Prophets' word down the Tower, unaltered.	false
derpy_ic_effects_derpy_ic_office_hand	Research +10	false
effect_bundles_localised_title_derpy_ic_vacant_hand	Hand of the Tower (Vacant)	false
effect_bundles_localised_description_derpy_ic_vacant_hand	The Tower's word arrives late, and altered on the way.	false
derpy_ic_effects_derpy_ic_vacant_hand	Research -4	false
effect_bundles_localised_title_derpy_ic_office_chains	Keeper of the Chains	false
effect_bundles_localised_description_derpy_ic_office_chains	He counts the work gangs, and the gangs know he counts them.	false
derpy_ic_effects_derpy_ic_office_chains	Workload -15%	false
effect_bundles_localised_title_derpy_ic_vacant_chains	Keeper of the Chains (Vacant)	false
effect_bundles_localised_description_derpy_ic_vacant_chains	Uncounted, the work gangs move at their own pace.	false
derpy_ic_effects_derpy_ic_vacant_chains	Workload +6%	false
effect_bundles_localised_title_derpy_ic_office_pits	Master of the Pits	false
effect_bundles_localised_description_derpy_ic_office_pits	What comes back from a battlefield is his to sort and his to sell.	false
derpy_ic_effects_derpy_ic_office_pits	Post-battle Labour +24%	false
effect_bundles_localised_title_derpy_ic_vacant_pits	Master of the Pits (Vacant)	false
effect_bundles_localised_description_derpy_ic_vacant_pits	The spoils are picked over by whoever reaches them first.	false
derpy_ic_effects_derpy_ic_vacant_pits	Post-battle Labour -10%	false
effect_bundles_localised_title_derpy_ic_office_quarry	Master of the Quarries	false
effect_bundles_localised_description_derpy_ic_office_quarry	The black rock comes up faster when somebody is counting the carts.	false
derpy_ic_effects_derpy_ic_office_quarry	Raw Materials +9%	false
effect_bundles_localised_title_derpy_ic_vacant_quarry	Master of the Quarries (Vacant)	false
effect_bundles_localised_description_derpy_ic_vacant_quarry	The quarries run at the pace of the laziest overseer in them.	false
derpy_ic_effects_derpy_ic_vacant_quarry	Raw Materials -4%	false
effect_bundles_localised_title_derpy_ic_office_roads	Warden of the Caravan Roads	false
effect_bundles_localised_description_derpy_ic_office_roads	The roads out of Zharr are his, and they are quicker than they were.	false
derpy_ic_effects_derpy_ic_office_roads	Movement range +6%	false
effect_bundles_localised_title_derpy_ic_vacant_roads	Warden of the Caravan Roads (Vacant)	false
effect_bundles_localised_description_derpy_ic_vacant_roads	The roads are unwatched, and the caravans take the long way round.	false
derpy_ic_effects_derpy_ic_vacant_roads	Movement range -3%	false
effect_bundles_localised_title_derpy_ic_office_kilns	Keeper of the Kilns	false
effect_bundles_localised_description_derpy_ic_office_kilns	Brick and slag leave his kilns cheaper than anyone can explain.	false
derpy_ic_effects_derpy_ic_office_kilns	Construction cost -8%	false
effect_bundles_localised_title_derpy_ic_vacant_kilns	Keeper of the Kilns (Vacant)	false
effect_bundles_localised_description_derpy_ic_vacant_kilns	The kilns burn on regardless, and the bill arrives regardless.	false
derpy_ic_effects_derpy_ic_vacant_kilns	Construction cost +4%	false
effect_bundles_localised_title_derpy_ic_office_fields	Steward of the Ash Fields	false
effect_bundles_localised_description_derpy_ic_office_fields	Even ash will grow something, if a Dawi Zharr is made to care.	false
derpy_ic_effects_derpy_ic_office_fields	Growth +10	false
effect_bundles_localised_title_derpy_ic_vacant_fields	Steward of the Ash Fields (Vacant)	false
effect_bundles_localised_description_derpy_ic_vacant_fields	The ash fields are left to the ash.	false
derpy_ic_effects_derpy_ic_vacant_fields	Growth -5	false
effect_bundles_localised_title_derpy_ic_office_scribes	Master of the Scribes	false
effect_bundles_localised_description_derpy_ic_office_scribes	His clerks know which door to knock on, and when.	false
derpy_ic_effects_derpy_ic_office_scribes	Hero success +8%	false
effect_bundles_localised_title_derpy_ic_vacant_scribes	Master of the Scribes (Vacant)	false
effect_bundles_localised_description_derpy_ic_vacant_scribes	The clerks knock on the wrong doors and are turned away.	false
derpy_ic_effects_derpy_ic_vacant_scribes	Hero success -4%	false
effect_bundles_localised_title_derpy_ic_office_muster	Warden of the Muster	false
effect_bundles_localised_description_derpy_ic_office_muster	He knows what a warrior costs, and he pays no more than that.	false
derpy_ic_effects_derpy_ic_office_muster	Recruitment cost -8%	false
